x	 y	 NICS
3.	 -2.8	 1.9485
3.	 -2.6	 2.0611
3.	 -2.4	 2.142
3.	 -2.2	 2.1745
3.	 -2.	 2.1479
3.	 -1.8	 2.0687
3.	 -1.6	 1.9723
3.	 -1.4	 1.9224
3.	 -1.2	 1.9884
3.	 -1.	 2.2083
3.	 -0.8	 2.5604
3.	 -0.6	 2.9696
3.	 -0.4	 3.3415
3.	 -0.2	 3.5966
3.	 0.	 3.6868
3.	 0.2	 3.5966
3.	 0.4	 3.3415
3.	 0.6	 2.9696
3.	 0.8	 2.5604
3.	 1.	 2.2083
3.	 1.2	 1.9884
3.	 1.4	 1.9224
3.	 1.6	 1.9723
3.	 1.8	 2.0687
3.	 2.	 2.1479
3.	 2.2	 2.1745
3.	 2.4	 2.142
3.	 2.6	 2.0611
3.	 2.8	 1.9485
3.	 3.	 1.8195
